Для такої інтерпретації в області D = {a, b}: P(a, a) = T, P(a, b) = F, P(b, a) = F, P(b, b) = T  визначити значення істинності формули для будь-яких x,y P(x, y) ; False ; True ; Хто зна
У формулі для будь-яких x P(x, y) \/  для будь-яких y Q(y) змінна y ; Вільна і зв'язана ; Зв'язана ; Вільна
Для такої інтерпретації в області D = {a, b}: P(a, a) = T, P(a, b) = F, P(b, a) = F, P(b, b) = T визначити значення істинності формули для будь-яких x,y P(x, y) ; True ; False ; Не шарю
Для такої інтерпретації в області D = {a, b}: P(a, a) = T, P(a, b) = F, P(b, a) = F, P(b, b) = T визначити значення істинності формули  для будь-яких x,y P(x, y) ;  False ; True ; 50/50
Чи правильна логічна еквівалентність для будь-яких x(P(x)/\Q(x)) = для будь-яких xP(x)/\ для будь-яких xQ(x)? ; Так ; Ні ; Мама рятуй
Чи правильна логічна еквівалентність для будь-яких x(P(x)\/Q) = для будь-яких xP(x)\/Q? ; Так ; Ні ; Пам пам пам
Подати формулу для будь-яких x P(x)-> для будь-яких x Q(x) у випередженій нормальній формі. ; для будь-яких x,y(¬P(x)\/Q(y)) ; для будь-яких x,y(P(x)\/Q(y)) ; для будь-яких x,y(¬P(x)\/ ¬Q(y))
Чи правильна логічна еквівалентність для будь-яких x(P(x)\/Q(x)) = для будь-яких xP(x)\/sy для будь-яких xQ(x)? ; Ні ; Так ; Тік
Чи правильно, що з гіпотези для будь-яких y,x Р(х, у) логічно випливає висновок для будь-яких х,у Р(х, у)? ; Так ; Ні ; Ні, ні, ні брехні
Подати формулу для будь-яких x P(x)/\ для будь-яких x Q(x) у випередженій нормальній формі. ; для будь-яких x,y (P(x)/\Q(y)) ; для будь-яких x,y (P(x)/\ ¬Q(y)) ; для будь-яких x,y (¬P(x)/\Q(y))
Чи правильно, що з гіпотези для будь-яких х,у Р(х, у) логічно випливає висновок для будь-яких y,x Р(х, у)? ; Ні ; Так ; Ой так так
