Формула ((p->q)/\?p)->?q: ; Виконувана, але не тавтологія ; Виконувана і тавтологія ; Не виконувана, але тавтологія
Формула ((p->q)/\q)->p: ; Виконувана, але не тавтологія ; Виконувана і тавтологія ; Не виконувана, але тавтологія 
Формула логіки висловлень, яка істинна, якщо p та q мають різні значення істинності, а якщо однакові, то вона фальшива – це - ; p+q ; pvq ; p\q
Формула ((p->q)/\p)->q ; тавтологія ; не тавтологія ; залежить від настрою
Формула логіки висловлень, яка фальшива, якщо p – істина, а q – хибність, а у всіх інших випадках істинна, – це ; p->q ; q->p ; Не знаю
Формула логіки висловлень, яка фальшива, якщо p та q мають різні значення істинності, а якщо однакові, то вона істинна – це ; p~q ; pvq ; p\q
Формула логіки висловлень, яка фальшива, якщо p та q водночас фальшиві, а у всіх інших випадках істинна, – це ; p\/q ; p\q ; p/\q
Формула ((p->q)/\?q)->?p  ; Тавтологія ; Не тавтологія ; Банан
Формула логіки висловлень, яка істинна, якщо p та q водночас істинні, а у всіх інших випадках фальшива, – це ; p/\q ; p\/q ; p\q
Інтерпретація формули логіки висловлень – це ; Будь-який набір значень всіх атомів формули. ; Лише певний набір значень всіх атомів формули. ; Логіка це логіка. Розслабся.
Правило логічного виведення „modus tollens” це:  ; ¬q, p->q |- ¬q ; q, p->q |- q ; ¬q, q->p |- ¬q
Правило логічного виведення „гіпотетичний силогізм” це ; p->q, q->r |- p->r ; p->q, q->r |- r->p ; q->p, q->r |- p->r
Правило логічного виведення „резолюція” це ; p\/q, ¬p\/r |- q\/r ; p\/q, p\/r |- q\/r ; ¬p\/q, ¬p\/r |- q\/r
Формула g – логічний наслідок формул f1, f2, ....., fn тоді й лише тоді, коли формула f1/\f2/\.../\fn/\¬g ; суперечність ; тавтологія ; Бетмен
Правило логічного виведення „диз’юнктивний силогізм” це ; p\/q, ¬p |- q ; p\/q, p |- q ; p\/¬q, ¬p |- q
